name,acronym,AP_location,DV_location,ML_location,avIndex
Parvicellular reticular nucleus,PARN,-6.44,5.62,0.97,989
Intermediate reticular nucleus,IRN,-6.44,5.68,0.96,979
Intermediate reticular nucleus,IRN,-6.44,5.78,0.96,979
Intermediate reticular nucleus,IRN,-6.44,5.94,0.95,979
Intermediate reticular nucleus,IRN,-6.44,6.06,0.96,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,7.01,0.96,993
Linear nucleus of the medulla,LIN,-6.44,6.1,1.05,981
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,7.05,0.98,993
Linear nucleus of the medulla,LIN,-6.44,6.21,1.02,981
Nucleus of the solitary tract,NTS,-6.44,5.44,1,949
Intermediate reticular nucleus,IRN,-6.44,5.93,1.02,979
Parvicellular reticular nucleus,PARN,-6.44,5.72,1.02,989
Parvicellular reticular nucleus,PARN,-6.44,5.79,1.05,989
Intermediate reticular nucleus,IRN,-6.44,6.33,1.04,979
Parvicellular reticular nucleus,PARN,-6.44,5.65,1.05,989
Intermediate reticular nucleus,IRN,-6.44,6.01,1.05,979
Spinal vestibular nucleus,SPIV,-6.44,5.07,1.08,1005
Parvicellular reticular nucleus,PARN,-6.44,5.72,1.08,989
Linear nucleus of the medulla,LIN,-6.44,6.25,1.09,981
Parvicellular reticular nucleus,PARN,-6.44,5.55,1.09,989
Intermediate reticular nucleus,IRN,-6.44,5.97,1.09,979
Intermediate reticular nucleus,IRN,-6.44,6.32,1.11,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,6.87,1.1,993
Nucleus of the solitary tract,NTS,-6.44,5.34,1.12,949
Nucleus of the solitary tract,NTS,-6.44,5.42,1.14,949
Linear nucleus of the medulla,LIN,-6.44,6.05,1.16,981
Nucleus of the solitary tract,NTS,-6.44,5.38,1.17,949
Intermediate reticular nucleus,IRN,-6.44,6.36,1.17,979
Intermediate reticular nucleus,IRN,-6.44,6.24,1.18,979
Intermediate reticular nucleus,IRN,-6.44,6.49,1.19,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,7.05,1.19,993
Nucleus of the solitary tract,NTS,-6.44,5.35,1.21,949
Linear nucleus of the medulla,LIN,-6.44,6.1,1.22,981
Intermediate reticular nucleus,IRN,-6.44,6.18,1.22,979
Parvicellular reticular nucleus,PARN,-6.44,6.01,1.23,989
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,7.13,1.23,993
Nucleus of the solitary tract,NTS,-6.44,5.4,1.25,949
Parvicellular reticular nucleus,PARN,-6.44,5.93,1.25,989
Intermediate reticular nucleus,IRN,-6.44,6.47,1.25,979
Intermediate reticular nucleus,IRN,-6.44,6.22,1.26,979
Intermediate reticular nucleus,IRN,-6.44,6.38,1.26,979
Nucleus of the solitary tract,NTS,-6.44,5.18,1.28,949
Spinal vestibular nucleus,SPIV,-6.44,5.12,1.3,1005
Nucleus of the solitary tract,NTS,-6.44,5.39,1.3,949
Nucleus of the solitary tract,NTS,-6.44,5.49,1.3,949
Parvicellular reticular nucleus,PARN,-6.44,6.19,1.31,989
Nucleus of the solitary tract,NTS,-6.44,5.24,1.32,949
Intermediate reticular nucleus,IRN,-6.44,6.41,1.36,979
Parvicellular reticular nucleus,PARN,-6.44,6.36,1.37,989
Parvicellular reticular nucleus,PARN,-6.44,6.32,1.38,989
Nucleus of the solitary tract,NTS,-6.44,5.27,1.4,949
Nucleus of the solitary tract,NTS,-6.44,5.22,1.39,949
Nucleus ambiguus dorsal division,AMBd,-6.44,6.55,1.4,972
Parvicellular reticular nucleus,PARN,-6.44,6.39,1.41,989
Nucleus ambiguus dorsal division,AMBd,-6.44,6.62,1.43,972
Spinal vestibular nucleus,SPIV,-6.44,5.11,1.43,1005
Nucleus of the solitary tract,NTS,-6.44,5.27,1.45,949
Medulla,MY,-6.44,5.21,1.46,936
Medulla,MY,-6.44,5.25,1.53,936
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.44,6.71,1.54,993
Medulla,MY,-6.44,5.14,1.59,936
Parvicellular reticular nucleus,PARN,-6.44,6.5,1.62,989
Spinal nucleus of the trigeminal interpolar part,SPVI,-6.44,5.86,1.68,956
Parvicellular reticular nucleus,PARN,-6.44,6.14,1.75,989
Fastigial nucleus,FN,-6.44,3.51,-1.37,1098
arbor vitae,arb,-6.44,3.58,-1.38,1189
Fastigial nucleus,FN,-6.44,3.94,1.05,1098
Interposed nucleus,IP,-6.44,3.83,1.28,1099
Parvicellular reticular nucleus,PARN,-6.52,6.35,-1.57,989
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.7,-1.52,993
Linear nucleus of the medulla,LIN,-6.52,6.52,-1.48,981
Parvicellular reticular nucleus,PARN,-6.52,6.55,-1.47,989
Parvicellular reticular nucleus,PARN,-6.52,6.5,-1.46,989
Parvicellular reticular nucleus,PARN,-6.52,6.52,-1.44,989
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.76,-1.43,993
Nucleus of the solitary tract,NTS,-6.52,5.29,-1.41,949
Medulla,MY,-6.52,5.19,-1.39,936
Intermediate reticular nucleus,IRN,-6.52,6.52,-1.38,979
Nucleus of the solitary tract,NTS,-6.52,5.32,-1.34,949
Spinal nucleus of the trigeminal interpolar part,SPVI,-6.52,5.56,-1.33,956
Parvicellular reticular nucleus,PARN,-6.52,5.64,-1.32,989
Intermediate reticular nucleus,IRN,-6.52,6.5,-1.31,979
Intermediate reticular nucleus,IRN,-6.52,6.41,-1.29,979
Linear nucleus of the medulla,LIN,-6.52,6.08,-1.26,981
Intermediate reticular nucleus,IRN,-6.52,6.33,-1.26,979
Intermediate reticular nucleus,IRN,-6.52,6.44,-1.26,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,7,-1.27,993
Parvicellular reticular nucleus,PARN,-6.52,6,-1.26,989
Intermediate reticular nucleus,IRN,-6.52,6.23,-1.25,979
Intermediate reticular nucleus,IRN,-6.52,6.49,-1.26,979
Nucleus of the solitary tract,NTS,-6.52,5.38,-1.23,949
Intermediate reticular nucleus,IRN,-6.52,6.33,-1.21,979
Paragigantocellular reticular nucleus lateral part,PGRNl,-6.52,6.63,-1.21,993
Intermediate reticular nucleus,IRN,-6.52,6.24,-1.2,979
